customer,event,year,sample_id,quantity,status,notes
WSLH,1st,2024,2024-AB-1,85,,
WSLH,1st,2024,2024-AB-2,85,,
WSLH,1st,2024,2024-AB-3,85,,
WSLH,1st,2024,2024-AB-4,85,,
WSLH,1st,2024,2024-AB-5,85,,
WSLH,1st,2024,2024-1-Donor,75,,
WSLH,1st,2024,2024-DAT-1,75,,
WSLH,1st,2024,2024-DAT-2,75,,
WSLH,1st,2024,2024-DAT-3,75,,
WSLH,2nd,2024,2024-AB-6,70,,
WSLH,2nd,2024,2024-AB-7,70,,
WSLH,2nd,2024,2024-AB-8,70,,
WSLH,2nd,2024,2024-AB-9,70,,
WSLH,2nd,2024,2024-AB-10,70,,
WSLH,2nd,2024,2024-2-Donor,60,,
WSLH,3rd,2024,2024-AB-11,65,,
WSLH,3rd,2024,2024-AB-12,65,,
WSLH,3rd,2024,2024-AB-13,65,,
WSLH,3rd,2024,2024-AB-14,65,,
WSLH,3rd,2024,2024-AB-15,65,,
WSLH,3rd,2024,2024-3-Donor,55,,
WSLH,3rd,2024,2024-DAT-4,63,,
WSLH,3rd,2024,2024-DAT-5,63,,
WSLH,3rd,2024,2024-DAT-6,63,,
WSLH,1st,2023,2023-AB-1,105,,
WSLH,1st,2023,2023-AB-2,105,,
WSLH,1st,2023,2023-AB-3,105,,
WSLH,1st,2023,2023-AB-4,105,,
WSLH,1st,2023,2023-AB-5,105,,
WSLH,1st,2023,2023-1-Donor,90,,
WSLH,1st,2023,2023-DAT-1,100,,
WSLH,1st,2023,2023-DAT-2,100,,
WSLH,1st,2023,2023-DAT-3,100,,
WSLH,2nd,2023,2023-AB-6,100,,
WSLH,2nd,2023,2023-AB-7,100,,
WSLH,2nd,2023,2023-AB-8,100,,
WSLH,2nd,2023,2023-AB-9,100,,
WSLH,2nd,2023,2023-AB-10,100,,
WSLH,2nd,2023,2023-2-Donor,85,,
WSLH,3rd,2023,2023-AB-11,95,,
WSLH,3rd,2023,2023-AB-12,95,,
WSLH,3rd,2023,2023-AB-13,95,,
WSLH,3rd,2023,2023-AB-14,95,,
WSLH,3rd,2023,2023-AB-15,95,,
WSLH,3rd,2023,2023-3-Donor,80,,
WSLH,3rd,2023,2023-DAT-4,90,,
WSLH,3rd,2023,2023-DAT-5,90,,
WSLH,3rd,2023,2023-DAT-6,90,,
ISLA,1st,2023,2023-181,,,
ISLA,1st,2023,2023-182,,,
ISLA,1st,2023,2023-183,,,
ISLA,1st,2023,2023-184,,,
ISLA,1st,2023,2023-185,,,
ISLA,1st,2023,2023-191,,,
ISLA,1st,2023,2023-192,,,
ISLA,1st,2023,2023-193,,,
ISLA,1st,2023,2023-194,,,
ISLA,1st,2023,2023-195,,,
ISLA,1st,2023,2023-271,,,
ISLA,1st,2023,2023-272,,,
ISLA,1st,2023,2023-273,,,
ISLA,1st,2023,2023-274,,,
ISLA,1st,2023,2023-275,,,
ISLA,2nd,2023,2023-261,,,
ISLA,2nd,2023,2023-262,,,
ISLA,2nd,2023,2023-263,,,
ISLA,2nd,2023,2023-264,,,
ISLA,2nd,2023,2023-265,,,
ISLA,2nd,2023,2023-266,,,
ISLA,2nd,2023,2023-267,,,
ISLA,2nd,2023,2023-268,,,
ISLA,2nd,2023,2023-269,,,
ISLA,2nd,2023,2023-270,,,
ISLA,2nd,2023,2023-271,,,
ISLA,2nd,2023,2023-272,,,
ISLA,2nd,2023,2023-273,,,
ISLA,2nd,2023,2023-274,,,
ISLA,2nd,2023,2023-275,,,
ISLA,3rd,2023,2023-261,,,
ISLA,3rd,2023,2023-262,,,
ISLA,3rd,2023,2023-263,,,
ISLA,3rd,2023,2023-264,,,
ISLA,3rd,2023,2023-265,,,
ISLA,3rd,2023,2023-266,,,
ISLA,3rd,2023,2023-267,,,
ISLA,3rd,2023,2023-268,,,
ISLA,3rd,2023,2023-269,,,
ISLA,3rd,2023,2023-270,,,
ISLA,3rd,2023,2023-271,,,
ISLA,3rd,2023,2023-272,,,
ISLA,3rd,2023,2023-273,,,
ISLA,3rd,2023,2023-274,,,
ISLA,3rd,2023,2023-275,,,
ISLA,1st,2024,2024-261,,,
ISLA,1st,2024,2024-262,,,
ISLA,1st,2024,2024-263,,,
ISLA,1st,2024,2024-264,,,
ISLA,1st,2024,2024-265,,,
ISLA,1st,2024,2024-266,,,
ISLA,1st,2024,2024-267,,,
ISLA,1st,2024,2024-268,,,
ISLA,1st,2024,2024-269,,,
ISLA,1st,2024,2024-270,,,
ISLA,1st,2024,2024-271,,,
ISLA,1st,2024,2024-272,,,
ISLA,1st,2024,2024-273,,,
ISLA,1st,2024,2024-274,,,
ISLA,1st,2024,2024-275,,,
ISLA,2nd,2024,2024-261,,,
ISLA,2nd,2024,2024-262,,,
ISLA,2nd,2024,2024-263,,,
ISLA,2nd,2024,2024-264,,,
ISLA,2nd,2024,2024-265,,,
ISLA,2nd,2024,2024-266,,,
ISLA,2nd,2024,2024-267,,,
ISLA,2nd,2024,2024-268,,,
ISLA,2nd,2024,2024-269,,,
ISLA,2nd,2024,2024-270,,,
ISLA,2nd,2024,2024-271,,,
ISLA,2nd,2024,2024-272,,,
ISLA,2nd,2024,2024-273,,,
ISLA,2nd,2024,2024-274,,,
ISLA,2nd,2024,2024-275,,,
ISLA,3rd,2024,2024-261,,,
ISLA,3rd,2024,2024-262,,,
ISLA,3rd,2024,2024-263,,,
ISLA,3rd,2024,2024-264,,,
ISLA,3rd,2024,2024-265,,,
ISLA,3rd,2024,2024-266,,,
ISLA,3rd,2024,2024-267,,,
ISLA,3rd,2024,2024-268,,,
ISLA,3rd,2024,2024-269,,,
ISLA,3rd,2024,2024-270,,,
ISLA,3rd,2024,2024-271,,,
ISLA,3rd,2024,2024-272,,,
ISLA,3rd,2024,2024-273,,,
ISLA,3rd,2024,2024-274,,,
ISLA,3rd,2024,2024-275,,,
