customer,event,year,sample_id,sample_type_id,antibody_1,antibody_2,abo,rh,antigens,is_dat_positive,special_order,mixed_field_ratio,sharing_eligible
AABB,1st,2023,2023-1 RBC,RBC50_3ml,,,A,Positive,E-neg c-neg K-neg Fya-pos,TRUE,FALSE,,TRUE
AABB,1st,2023,2023-1 Serum,SER_5ml,Anti-E,Anti-c Anti-K,,,FALSE,FALSE,,TRUE,
AABB,2nd,2023,Sample 2023-2 Red Cell -- Patient,RBC4_10ml,,,A,Positive,c-neg Cw-neg S-neg,FALSE,FALSE,,TRUE
AABB,2nd,2023,Sample 2023-2 Plasma -- Patient,SER_5ml,Anti-c,Anti-Cw Anti-S,,,FALSE,FALSE,,TRUE,
AABB,2nd,2023,Sample 2023-2 XM RBC -- Donor,RBC4_10ml,,,A,Positive,c-neg Cw-pos S-neg,FALSE,FALSE,,TRUE
AABB,3rd,2023,Sample 2023-3 Red Cell -- Patient,RBC50_3ml,,,O,Positive,P1-neg,TRUE,FALSE,,TRUE
AABB,3rd,2023,Sample 2023-3 Plasma -- Patient,SER_5ml,Anti-D,Anti-P1,,,FALSE,FALSE,,TRUE,
AABB,3rd,2023,Sample 2023-3 XM RBC -- Donor,RBC4_10ml,,,O,Negative,P1-pos,FALSE,FALSE,,TRUE
AABB,1st,2024,Sample 2024-1 Red Cell -- Mom,RBC4_10ml,,,O,Positive,c-neg E-neg Fya-neg,FALSE,FALSE,,TRUE
AABB,1st,2024,Sample 2024-1 Plasma -- Mom,SER_5ml,Anti-c,Anti-E Anti-Fya,,,FALSE,FALSE,,TRUE,
AABB,1st,2024,Sample 2024-1 Red Cell -- Baby,RBC50_3ml,,,O,Any,c-neg E-neg Fya-pos,TRUE,FALSE,,TRUE
AABB,2nd,2024,Sample 2024-2 Red Cell -- Patient,RBC4_10ml,,,A,Positive,k-neg M-neg,FALSE,FALSE,,TRUE
AABB,2nd,2024,Sample 2024-2 Plasma -- Patient,SER_5ml,Anti-k,Anti-M,,,FALSE,FALSE,,TRUE,
AABB,2nd,2024,Sample 2024-2 XM RBC -- Donor,RBC4_10ml,,,O,Positive,k-pos M-neg,FALSE,FALSE,,TRUE
AABB,3rd,2024,Sample 2024-3 Red Cell -- Patient,RBC4_10ml,,,A,Positive,A1-pos,FALSE,FALSE,,TRUE
AABB,3rd,2024,Sample 2024-3 Plasma -- Patient,SER_5ml,,,,,FALSE,FALSE,,TRUE,
AABB,3rd,2024,Sample 2024-3 Red Cell -- Donor,RBC4_10ml,,,O,Positive,,FALSE,FALSE,,TRUE
AABB,1st,2025,Sample 2025-1 Red Cell - Patient,RBC4_10ml,,,A/O MF,Positive,E-neg K-neg Fya-neg s-neg,FALSE,FALSE,1:01,FALSE
AABB,1st,2025,Sample 2025-1 Plasma - Patient,SER_5ml,Anti-E,Anti-K Anti-Fya Anti-s,,,FALSE,FALSE,,TRUE,
AABB,2nd,2025,Sample 2025-2 Red Cell - Mom,RBC4_10ml,,,O,Positive,Cw-neg E-neg K-neg,FALSE,FALSE,,TRUE
AABB,2nd,2025,Sample 2025-2 Plasma - Mom,SER_5ml,Anti-Cw,Anti-E Anti-K,,,FALSE,FALSE,,TRUE,
AABB,2nd,2025,Sample 2025-2 Red Cell - Baby,RBC50_3ml,,,O,Positive,Cw-pos E-neg K-neg,TRUE,FALSE,,TRUE
AABB,3rd,2025,Sample 2025-3 Red Cell - Patient,RBC4_10ml,,,O,Negative,C-neg,FALSE,FALSE,,TRUE
AABB,3rd,2025,Sample 2025-3 Plasma - Patient,SER_5ml,Anti-C,Anti-D,,,FALSE,FALSE,,TRUE,
AABB,3rd,2025,Sample 2025-3 XM RBC - Donor,RBC4_10ml,,,O,Positive,C-neg,FALSE,FALSE,,TRUE
