customer,event,year,sample_id,sample_type_id,antibody_1,antibody_2,abo,rh,antigens,is_dat_positive,special_order,mixed_field_ratio,sharing_eligible
Aurevia,1st,2023,LQ7143031,WB15_4ml,,,Any,Weak D,,FALSE,TRUE,,FALSE
Aurevia,1st,2023,LQ7143032,WB15_4ml,Anti-Fya,,B,Positive,Fya-neg,FALSE,FALSE,,TRUE
Aurevia,1st,2023,LQ7142033,RBC15_3ml,,,O,Negative,Fya-pos Fyb-neg,FALSE,FALSE,,TRUE
Aurevia,1st,2023,LQ7142034,RBC15_3ml,,,O,Negative,Fya-pos Fyb-neg,FALSE,FALSE,,TRUE
Aurevia,1st,2023,LQ7142035,RBC15_3ml,,,O,Positive,Fya-neg,FALSE,FALSE,,TRUE
Aurevia,1st,2023,LQ7142036,RBC15_3ml,,,O,Positive,Fya-neg,FALSE,FALSE,,TRUE
Aurevia,1st,2023,LQ7141031,DAT5_3ml,,,,,,FALSE,FALSE,,TRUE
Aurevia,1st,2023,LQ7141032,DAT5_3ml,,,,,,FALSE,FALSE,,TRUE
Aurevia,2nd,2023,LQ7143041,WB15_4ml,,,A/O MF,Negative,,FALSE,FALSE,1:01,TRUE
Aurevia,2nd,2023,LQ7143042,WB15_4ml,Anti-c,,O,Positive,c-neg,FALSE,FALSE,,TRUE
Aurevia,2nd,2023,LQ7142043,RBC15_3ml,,,O,Positive,C-pos c-pos,FALSE,FALSE,,TRUE
Aurevia,2nd,2023,LQ7142044,RBC15_3ml,,,O,Positive,c-neg,FALSE,FALSE,,TRUE
Aurevia,2nd,2023,LQ7142045,RBC15_3ml,,,O,Positive,C-pos c-neg,FALSE,FALSE,,TRUE
Aurevia,2nd,2023,LQ7142046,RBC15_3ml,,,O,Negative,c-pos,FALSE,FALSE,,TRUE
Aurevia,2nd,2023,LQ7141041,DAT5_3ml,,,,,,FALSE,FALSE,,TRUE
Aurevia,2nd,2023,LQ7141042,DAT5_3ml,,,,,,FALSE,FALSE,,TRUE
